Product_Name,Price,Rating
"POCO M3 (Power Black, 64 GB)","₹11,499",4.3
"realme C21 (Cross Blue, 64 GB)","₹9,499",4.4
"realme C21 (Cross Blue, 32 GB)","₹8,499",4.4
"(Refurbished) I Kall K 320 (Purple, 64 GB)","₹6,399",3
"realme C21 (Cross Black, 32 GB)","₹8,499",4.4
"realme C21 (Cross Black, 64 GB)","₹9,499",4.4
"REDMI 9i (Nature Green, 64 GB)","₹8,499",4.3
"I Kall K400 (Black, 64 GB)","₹6,299",3
"realme C20 (Cool Blue, 32 GB)","₹6,999",4.4
"realme C20 (Cool Grey, 32 GB)","₹6,999",4.4
"REDMI 9 Prime (Mint Green, 64 GB)","₹9,999",4.4
"(Refurbished) I Kall K200 (Golden / Gold, 16 GB)","₹4,299",4.4
"realme Narzo 30 5G (Racing Silver, 128 GB)","₹15,999",4.4
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹15,999",4.3
"POCO M3 (Yellow, 64 GB)","₹11,499",3
"(Refurbished) I Kall K 320 (Blue, 64 GB)","₹6,399",4.4
"REDMI 9 Prime (Matte Black, 64 GB)","₹9,999",4.5
"Infinix Hot 10 Play (Obsidian Black, 32 GB)","₹7,999",4.4
"realme Narzo 30 (Racing Silver, 64 GB)","₹12,499",1
"(Refurbished) I Kall K380 (Silver, 32 GB)","₹6,199",4.3
"POCO C3 (Matte Black, 32 GB)","₹7,999",4.3
"REDMI 9 Power (Mighty Black, 64 GB)","₹10,999",4.3
"REDMI Note 9 (Shadow Black, 64 GB)","₹11,499",4.3
"(Refurbished) I Kall K200 (Blue, 16 GB)","₹4,299",4.3
"REDMI 9i (Midnight Black, 64 GB)","₹8,499",4.4
"POCO M2 Reloaded (Mostly Blue, 64 GB)","₹9,999",4.3
"POCO M3 (Power Black, 64 GB)","₹10,499",4.3
"(Refurbished) I Kall K5 (Blue, 16 GB)","₹4,199",4.3
"REDMI Note 9 (Aqua Green, 64 GB)","₹11,499",4.1
"REDMI 9 Power (Blazing Blue, 64 GB)","₹10,999",4.4
"realme 8 (Cyber Black, 128 GB)","₹16,999",4.3
"(Refurbished) I Kall K 500 (Blue, 64 GB)","₹6,199",3
"MOTOROLA G30 (Dark Pearl, 64 GB)","₹10,999",4.3
"REDMI 9 Prime (Space Blue, 64 GB)","₹9,999",4.3
"Infinix Hot 10 Play (7° Purple, 64 GB)","₹8,999",4.3
"I Kall K 500 (Blue, 64 GB)","₹6,299",3.3
"Infinix Hot 10 Play (Morandi Green, 64 GB)","₹8,999",4.3
"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹8,999",5
"POCO M3 (Cool Blue, 64 GB)","₹11,499",5
I Kall K65,"₹1,499",4.4
